Date,Date,Open,High,Low,Close
2014-02-24,0,720.0,720.0,720.0,720.0
2014-02-25,1,720.0,720.0,720.0,720.0
2014-02-27,2,720.0,720.0,720.0,720.0
2014-03-03,3,700.0,700.0,700.0,700.0
2014-03-04,4,700.0,700.0,700.0,700.0
2014-03-06,5,680.0,680.0,679.0,679.0
2014-03-07,6,679.0,679.0,679.0,679.0
2014-03-12,7,679.0,679.0,679.0,679.0
2014-03-18,8,670.0,670.0,670.0,670.0
2014-03-19,9,670.0,670.0,670.0,670.0
2014-03-20,10,670.0,670.0,670.0,670.0
2014-03-21,11,690.0,690.0,690.0,690.0
2014-03-24,12,690.0,690.0,690.0,690.0
2014-04-03,13,670.0,670.0,670.0,670.0
2014-04-07,14,670.0,670.0,670.0,670.0
2014-05-07,15,658.0,658.0,658.0,658.0
2014-05-08,16,658.0,658.0,658.0,658.0
2014-05-28,17,677.0,677.0,677.0,677.0
2014-05-29,18,740.0,740.0,740.0,740.0
2014-05-30,19,740.0,740.0,740.0,740.0
2014-07-02,20,666.0,666.0,666.0,666.0
2014-07-03,21,610.0,610.0,610.0,610.0
2014-07-07,22,610.0,610.0,610.0,610.0
2014-07-29,23,551.0,567.0,551.0,567.0
2014-07-30,24,567.0,567.0,567.0,567.0
2014-08-07,25,573.0,573.0,573.0,573.0
2014-08-08,26,573.0,573.0,573.0,573.0
2014-08-15,27,630.0,630.0,630.0,630.0
2014-08-18,28,612.0,612.0,612.0,612.0
2014-08-19,29,612.0,612.0,612.0,612.0
2014-08-21,30,630.0,630.0,610.0,620.0
2014-08-22,31,620.0,620.0,620.0,620.0
2014-09-05,32,606.0,606.0,606.0,606.0
2014-09-08,33,606.0,606.0,606.0,606.0
2014-09-10,34,666.0,666.0,666.0,666.0
2014-09-11,35,685.0,690.0,685.0,690.0
2014-09-17,36,650.0,650.0,650.0,650.0
2014-09-18,37,650.0,650.0,650.0,650.0
2014-09-19,38,650.0,650.0,650.0,650.0
2014-09-23,39,611.0,611.0,611.0,611.0
2014-09-24,40,611.0,611.0,611.0,611.0
2014-09-26,41,600.0,600.0,600.0,600.0
2014-09-29,42,600.0,600.0,600.0,600.0
2014-09-30,43,639.0,639.0,639.0,639.0
2014-10-01,44,639.0,639.0,639.0,639.0
2014-10-02,45,612.0,612.0,612.0,612.0
2014-10-03,46,600.0,600.0,600.0,600.0
2014-10-07,47,618.0,618.0,600.0,600.0
2014-10-09,48,617.0,617.0,617.0,617.0
2014-10-10,49,617.0,617.0,617.0,617.0
2014-10-13,50,630.0,630.0,630.0,630.0
2014-10-14,51,630.0,630.0,630.0,630.0
2014-10-27,52,630.0,630.0,600.0,600.0
2014-10-30,53,595.0,595.0,595.0,595.0
2014-10-31,54,595.0,600.0,595.0,600.0
2014-11-03,55,633.0,650.0,633.0,650.0
2014-11-04,56,650.0,650.0,650.0,650.0
2014-11-05,57,699.0,699.0,699.0,699.0
2014-11-06,58,699.0,699.0,699.0,699.0
